id,name,now_cost,position,team,starts_per_90,chance_of_playing_next_round,cost_change_event_fall,transfers_out,threat_rank_type,selected_by_percent,cost_change_start,cost_change_start_fall,threat_rank,clean_sheets,web_name,ict_index_rank_type,total_points,ep_next,status,ict_index,expected_goals_per_90,clean_sheets_per_90,points_per_game,yellow_cards,now_cost_rank_type,transfers_in,form_rank,saves,event_points,bonus,expected_goals,expected_goals_conceded_per_90,penalties_order,corners_and_indirect_freekicks_order,cost_change_event,in_dreamteam,ep_this,goals_conceded,selected_rank,chance_of_playing_this_round,goals_conceded_per_90,expected_goals_conceded,expected_assists,points_per_game_rank_type,starts,expected_goal_involvements,goals_scored,saves_per_90,creativity,threat,expected_goal_involvements_per_90,ict_index_rank,now_cost_rank,creativity_rank,value_form,news_added,influence,selected_rank_type,creativity_rank_type,influence_rank_type,bps,value_season,expected_assists_per_90,transfers_out_event,assists,influence_rank,news,transfers_in_event,form,minutes,direct_freekicks_order,form_rank_type,points_per_game_rank,dreamteam_count,red_cards
11,Marcus Oliveira Alencar,45,MID,Arsenal,0.0,0.0,0,3509,143,0.1,0,0,442,0,Marquinhos,161,0,0.0,u,0.0,0.0,0.0,0.0,0,255,819,508,0,0,0,0.00,0.0,,,0,False,1.5,0,390,,0.0,0.00,0.00,182,0,0.00,0,0.0,0.0,0.0,0.0,471,507,463,0.0,2023-08-14T03:57:12.475590Z,0.0,122,160,154,0,0.0,0.0,3509,0,463,Season long loan to FC Nantes,819,0.0,0,,182,508,0,0
12,Gabriel Martinelli Silva,80,MID,Arsenal,1.06,,0,29330,56,15.4,0,0,96,0,Martinelli,17,5,3.3,a,7.6,0.0,0.0,5.0,0,9,72266,55,0,5,0,0.00,1.23,3.0,4.0,0,False,3.3,1,27,,1.06,1.16,0.22,16,1,0.22,0,0.0,42.5,8.0,0.23,33,16,13,0.6,,25.4,8,9,18,23,0.6,0.23,29330,1,53,,72266,5.0,85,3.0,16,55,0,0
13,Eddie Nketiah,55,FWD,Arsenal,1.25,,0,14644,10,4.5,0,0,20,1,Nketiah,12,8,2.4,a,7.2,0.26,1.25,8.0,0,33,106868,20,0,8,2,0.21,0.38,,,0,False,2.4,0,78,,0.0,0.30,0.01,5,1,0.22,1,0.0,5.9,36.0,0.27,38,123,129,1.5,,30.2,14,13,11,26,1.5,0.01,14644,0,39,,106868,8.0,72,,5,20,0,0
14,Martin Ødegaard,85,MID,Arsenal,1.0,,0,99468,41,23.3,0,0,70,0,Ødegaard,46,2,3.4,a,4.9,0.11,0.0,2.0,0,7,50305,176,0,2,0,0.11,1.18,,3.0,0,False,3.4,1,15,,1.0,1.18,0.09,83,1,0.20,0,0.0,23.4,14.0,0.2,81,9,46,0.2,,12.0,6,33,45,11,0.2,0.09,99468,0,122,,50305,2.0,90,1.0,83,176,0,0
15,Thomas Partey,50,MID,Arsenal,1.0,,0,4201,82,0.4,0,0,150,0,Thomas,37,2,2.1,a,5.3,0.0,0.0,2.0,0,138,2495,129,0,2,0,0.00,1.18,,,0,False,2.1,1,247,,1.0,1.18,0.06,49,1,0.06,0,0.0,27.6,2.0,0.06,68,212,32,0.4,,23.8,77,24,19,18,0.4,0.06,4201,0,57,,2495,2.0,90,,49,129,0,0
16,Nicolas Pépé,50,MID,Arsenal,0.0,,0,1056,212,0.1,0,0,539,0,Pepe,226,0,2.1,a,0.0,0.0,0.0,0.0,0,152,236,578,0,0,0,0.00,0.0,,,0,False,2.1,0,448,,0.0,0.00,0.00,235,0,0.00,0,0.0,0.0,0.0,0.0,560,230,554,0.0,,0.0,153,225,219,0,0.0,0.0,1056,0,553,,236,0.0,0,,235,578,0,0
17,Aaron Ramsdale,50,GKP,Arsenal,1.0,,0,55271,73,18.4,0,0,560,0,Ramsdale,13,2,3.7,a,1.3,0.0,0.0,2.0,0,11,31456,138,1,2,0,0.00,1.18,,,0,False,3.7,1,22,,1.0,1.18,0.00,18,1,0.00,0,1.0,0.0,0.0,0.0,188,257,570,0.4,,12.6,3,73,13,10,0.4,0.0,55271,0,119,,31456,2.0,90,,18,138,0,0
18,Rúnar Alex Rúnarsson,40,GKP,Arsenal,0.0,,0,1055,18,0.2,0,0,199,0,Rúnarsson,31,0,1.5,a,0.0,0.0,0.0,0.0,0,47,668,307,0,0,0,0.00,0.0,,,0,False,1.5,0,340,,0.0,0.00,0.00,37,0,0.00,0,0.0,0.0,0.0,0.0,260,579,242,0.0,,0.0,53,19,31,0,0.0,0.0,1055,0,251,,668,0.0,0,,37,307,0,0
19,Bukayo Saka,86,MID,Arsenal,1.0,,-1,12676,7,64.1,1,-1,16,0,Saka,4,10,3.4,a,13.9,0.19,0.0,10.0,0,5,313998,9,0,10,3,0.19,1.18,1.0,1.0,1,True,3.4,1,2,,1.0,1.18,0.17,3,1,0.36,1,0.0,46.2,39.0,0.36,7,7,9,1.2,,53.8,1,6,2,37,1.2,0.17,12676,0,5,,313998,10.0,90,,3,9,1,0
20,William Saliba,50,DEF,Arsenal,1.0,,0,24315,49,21.4,0,0,156,0,Saliba,21,5,2.8,a,4.9,0.0,0.0,5.0,0,34,215694,48,0,5,0,0.00,1.18,,,0,False,2.8,1,17,,1.0,1.18,0.03,21,1,0.03,0,0.0,13.6,2.0,0.03,77,290,80,1.0,,33.6,5,21,10,22,1.0,0.03,24315,1,27,,215694,5.0,90,,21,48,0,0
21,Albert Sambi Lokonga,50,MID,Arsenal,0.0,,0,209,233,0.0,0,0,577,0,Sambi,243,0,2.1,a,0.0,0.0,0.0,0.0,0,180,47,600,0,0,0,0.00,0.0,,,0,False,2.1,0,583,,0.0,0.00,0.00,248,0,0.00,0,0.0,0.0,0.0,0.0,591,278,585,0.0,,0.0,232,241,236,0,0.0,0.0,209,0,583,,47,0.0,0,,248,600,0,0
22,Emile Smith Rowe,55,MID,Arsenal,0.0,,0,2511,260,0.2,0,0,621,0,Smith Rowe,266,0,2.6,a,0.0,0.0,0.0,0.0,0,79,347,633,0,0,0,0.00,0.0,,,0,False,2.6,0,353,,0.0,0.00,0.00,269,0,0.00,0,0.0,0.0,0.0,0.0,628,125,626,0.0,,0.0,108,265,261,0,0.0,0.0,2511,0,623,,347,0.0,0,,269,633,0,0
23,Nuno Varela Tavares,40,DEF,Arsenal,0.0,,0,2372,93,0.3,0,0,249,0,Tavares,121,0,1.5,a,0.0,0.0,0.0,0.0,0,192,1073,355,0,0,0,0.00,0.0,,,0,False,1.5,0,281,,0.0,0.00,0.00,126,0,0.00,0,0.0,0.0,0.0,0.0,309,629,292,0.0,,0.0,106,118,122,0,0.0,0.0,2372,0,300,,1073,0.0,0,,126,355,0,0
24,Kieran Tierney,45,DEF,Arsenal,0.0,,0,3740,156,0.3,0,0,351,0,Tierney,172,0,2.5,a,0.0,0.0,0.0,0.0,0,90,954,435,0,0,0,0.00,0.0,,,0,False,2.5,0,264,,0.0,0.00,0.00,176,0,0.00,0,0.0,0.0,0.0,0.0,394,395,382,0.0,,0.0,97,170,174,0,0.0,0.0,3740,0,386,,954,0.0,0,,176,435,0,0
25,Takehiro Tomiyasu,45,DEF,Arsenal,0.0,,0,1877,19,0.3,0,0,82,0,Tomiyasu,48,1,2.5,a,2.3,0.07,0.0,1.0,0,118,2192,200,0,1,0,0.03,2.02,,,0,False,2.5,1,304,,2.25,0.90,0.02,73,0,0.05,0,0.0,4.3,9.0,0.11,141,434,135,0.2,,10.0,117,40,60,9,0.2,0.04,1877,0,138,,2192,1.0,40,,73,200,0,0
26,Leandro Trossard,70,MID,Arsenal,0.0,,0,71768,280,5.2,0,0,653,0,Trossard,86,1,3.0,a,1.6,0.0,0.0,1.0,0,17,5474,275,0,1,0,0.00,4.66,,2.0,0,False,3.0,1,69,,5.29,0.88,0.01,133,0,0.01,0,0.0,10.8,0.0,0.05,182,30,114,0.1,,5.4,21,71,78,8,0.1,0.05,71768,0,177,,5474,1.0,17,,133,275,0,0
29,Benjamin White,55,DEF,Arsenal,1.0,,0,40526,50,9.6,0,0,159,0,White,56,1,3.1,a,2.0,0.0,0.0,1.0,1,10,23905,257,0,1,0,0.00,1.18,,,0,False,3.1,1,39,,1.0,1.18,0.03,88,1,0.03,0,0.0,7.3,2.0,0.03,158,115,124,0.2,,10.8,14,37,57,8,0.2,0.03,40526,0,133,,23905,1.0,90,,88,257,0,0
30,Granit Xhaka,60,MID,Arsenal,0.0,0.0,0,523,271,0.0,0,0,638,0,Xhaka,274,0,0.0,u,0.0,0.0,0.0,0.0,0,36,0,642,0,0,0,0.00,0.0,,,0,False,0.0,0,598,0.0,0.0,0.00,0.00,275,0,0.00,0,0.0,0.0,0.0,0.0,642,60,641,0.0,2023-07-11T08:41:07.159936Z,0.0,241,274,270,0,0.0,0.0,523,0,638,Transferred to Bayer Leverkusen,0,0.0,0,2.0,275,642,0,0
31,Oleksandr Zinchenko,50,DEF,Arsenal,0.0,,0,76816,205,6.2,0,0,546,0,Zinchenko,208,0,2.8,a,0.0,0.0,0.0,0.0,0,26,10540,582,0,0,0,0.00,0.0,,,0,False,2.8,0,60,,0.0,0.00,0.00,208,0,0.00,0,0.0,0.0,0.0,0.0,565,239,559,0.0,,0.0,22,208,209,0,0.0,0.0,76816,0,558,,10540,0.0,0,,208,582,0,0
540,Declan Rice,55,MID,Arsenal,1.0,,0,43136,17,6.2,0,0,36,0,Rice,32,2,2.6,a,5.7,0.25,0.0,2.0,0,76,19913,152,0,2,0,0.25,1.18,,,0,False,2.6,1,59,,1.0,1.18,0.03,68,1,0.28,0,0.0,4.6,31.0,0.28,60,121,134,0.4,,21.6,18,81,23,18,0.4,0.03,43136,0,64,,19913,2.0,90,,68,152,0,0
578,Reiss Nelson,50,MID,Arsenal,0.0,100.0,0,366,215,0.0,0,0,542,0,Nelson,228,0,2.1,a,0.0,0.0,0.0,0.0,0,155,187,580,0,0,0,0.00,0.0,,,0,False,2.1,0,549,100.0,0.0,0.00,0.00,237,0,0.00,0,0.0,0.0,0.0,0.0,562,233,556,0.0,2023-08-07T15:30:06.067296Z,0.0,210,227,221,0,0.0,0.0,366,0,555,,187,0.0,0,,237,580,0,0
585,Jurriën Timber,50,DEF,Arsenal,1.84,25.0,0,174261,212,3.9,0,0,580,0,J.Timber,213,0,0.7,d,0.0,0.0,0.0,0.0,1,33,10199,603,0,0,0,0.00,0.51,,,0,False,2.8,0,86,,0.0,0.28,0.01,212,1,0.01,0,0.0,0.0,0.0,0.02,594,285,588,0.0,2023-08-12T18:00:07.121160Z,0.0,29,213,213,3,0.0,0.02,174261,0,586,Knee injury - 25% chance of playing,10199,0.0,49,,212,603,0,0
646,Karl Hein,40,GKP,Arsenal,0.0,,0,12,41,0.0,0,0,261,0,Hein,53,0,1.5,a,0.0,0.0,0.0,0.0,0,70,118,367,0,0,0,0.00,0.0,,,0,False,1.5,0,637,,0.0,0.00,0.00,59,0,0.00,0,0.0,0.0,0.0,0.0,321,641,304,0.0,,0.0,73,42,53,0,0.0,0.0,12,0,312,,118,0.0,0,,59,367,0,0
32,Alexandre Moreno Lopera,50,DEF,Aston Villa,0.0,0.0,0,666,202,0.0,0,0,506,0,Alex Moreno,206,0,0.0,i,0.0,0.0,0.0,0.0,0,19,155,556,0,0,0,0.00,0.0,,,0,False,0.0,0,518,0.0,0.0,0.00,0.00,206,0,0.00,0,0.0,0.0,0.0,0.0,530,185,523,0.0,2023-07-05T16:30:03.686424Z,0.0,190,206,207,0,0.0,0.0,666,0,522,Hamstring injury - Expected back 03 Sep,155,0.0,0,,206,556,0,0
33,Cameron Archer,45,FWD,Aston Villa,0.0,,0,27954,36,6.0,0,0,415,0,Archer,36,0,1.0,a,0.0,0.0,0.0,0.0,0,73,9369,484,0,0,0,0.00,0.0,,,0,False,0.5,0,61,,0.0,0.00,0.00,48,0,0.00,0,0.0,0.0,0.0,0.0,447,475,439,0.0,,0.0,11,35,33,0,0.0,0.0,27954,0,438,,9369,0.0,0,,48,484,0,0
34,Leon Bailey,55,MID,Aston Villa,2.0,,0,5835,261,0.7,0,0,622,0,Bailey,105,1,2.1,a,0.4,0.0,0.0,1.0,0,80,3876,258,0,1,0,0.00,2.48,,4.0,0,False,1.6,2,202,,4.0,1.24,0.01,119,1,0.01,0,0.0,3.8,0.0,0.02,221,126,139,0.2,,0.2,64,83,106,-1,0.2,0.02,5835,0,223,,3876,1.0,45,3.0,119,258,0,0
35,Emiliano Buendía Stati,60,MID,Aston Villa,0.0,0.0,0,7472,274,0.1,0,0,643,0,Buendia,277,0,0.0,i,0.0,0.0,0.0,0.0,0,43,55,647,0,0,0,0.00,0.0,,,0,False,0.0,0,399,0.0,0.0,0.00,0.00,278,0,0.00,0,0.0,0.0,0.0,0.0,647,71,647,0.0,2023-08-10T11:00:05.686871Z,0.0,125,277,274,0,0.0,0.0,7472,0,644,Knee injury - Expected back 10 Feb,55,0.0,0,,278,647,0,0
36,Matty Cash,45,DEF,Aston Villa,1.05,,0,28021,14,7.6,0,0,74,0,Cash,62,-1,2.0,a,1.7,0.77,0.0,-1.0,1,96,32684,662,0,-1,0,0.74,2.93,,,0,False,1.5,4,49,,4.19,2.80,0.00,217,1,0.74,0,0.0,1.8,11.0,0.77,170,401,158,-0.2,,3.8,16,51,72,1,-0.2,0.0,28021,0,186,,32684,-1.0,86,,217,662,0,0
37,Calum Chambers,40,DEF,Aston Villa,0.0,,0,5555,58,1.4,0,0,189,0,Chambers,86,0,1.0,a,0.0,0.0,0.0,0.0,0,157,3061,297,0,0,0,0.00,0.0,,,0,False,0.5,0,140,,0.0,0.00,0.00,92,0,0.00,0,0.0,0.0,0.0,0.0,250,569,232,0.0,,0.0,52,83,87,0,0.0,0.0,5555,0,241,,3061,0.0,0,,92,297,0,0
38,Philippe Coutinho Correia,60,MID,Aston Villa,0.0,,0,5987,72,0.6,0,0,128,0,Coutinho,103,1,2.2,a,0.5,2.4,0.0,1.0,0,37,2386,268,0,1,0,0.08,19.5,2.0,5.0,0,False,1.7,1,213,,30.0,0.65,0.01,127,0,0.09,0,0.0,1.8,4.0,2.7,218,61,163,0.2,,0.0,66,93,271,3,0.2,0.3,5987,0,639,,2386,1.0,3,4.0,127,268,0,0
39,Keinan Davis,50,FWD,Aston Villa,0.0,,0,2992,55,0.3,0,0,557,0,Davis,55,0,1.4,a,0.0,0.0,0.0,0.0,0,49,1703,589,0,0,0,0.00,0.0,,,0,False,0.9,0,287,,0.0,0.00,0.00,63,0,0.00,0,0.0,0.0,0.0,0.0,574,253,568,0.0,,0.0,51,54,54,0,0.0,0.0,2992,0,567,,1703,0.0,0,,63,589,0,0
40,Leander Dendoncker,50,MID,Aston Villa,0.0,0.0,0,652,193,0.0,0,0,515,0,Dendoncker,208,0,0.0,i,0.0,0.0,0.0,0.0,0,128,13,563,0,0,0,0.00,0.0,,,0,False,0.0,0,587,0.0,0.0,0.00,0.00,223,0,0.00,0,0.0,0.0,0.0,0.0,537,201,531,0.0,2023-08-10T15:00:04.947940Z,0.0,234,207,201,0,0.0,0.0,652,0,530,Muscle injury - Unknown return date,13,0.0,0,,223,563,0,0
41,Diego Carlos Santos Silva,45,DEF,Aston Villa,0.0,,0,4028,2,0.5,0,0,17,0,Diego Carlos,22,0,2.0,a,4.7,0.93,0.0,0.0,0,77,2760,423,0,0,0,0.27,5.68,,,0,False,1.5,2,232,,6.92,1.64,0.00,170,0,0.27,0,0.0,0.4,37.0,0.93,83,375,194,0.0,,9.4,86,69,63,6,0.0,0.0,4028,0,144,,2760,0.0,26,,170,423,0,0
42,Lucas Digne,45,DEF,Aston Villa,1.0,,0,6045,39,1.2,0,0,136,0,Digne,13,-1,2.0,a,6.0,0.0,0.0,-1.0,1,57,8796,661,0,-1,0,0.00,3.44,,3.0,0,False,1.5,5,152,,5.0,3.44,0.15,216,1,0.15,0,0.0,45.2,2.0,0.15,53,344,10,-0.2,,13.2,54,3,49,13,-0.2,0.15,6045,0,113,,8796,-1.0,90,2.0,216,661,0,0
43,Douglas Luiz Soares de Paulo,55,MID,Aston Villa,1.0,,0,22157,26,2.7,0,0,52,0,Douglas Luiz,40,1,2.1,a,5.1,0.19,0.0,1.0,1,83,2682,260,0,1,0,0.19,3.44,,1.0,0,False,1.6,5,111,,5.0,3.44,0.15,121,1,0.34,0,0.0,22.3,19.0,0.34,71,130,50,0.2,,9.4,42,35,57,10,0.2,0.15,22157,0,146,,2682,1.0,90,1.0,121,260,0,0
44,Jhon Durán,50,FWD,Aston Villa,0.0,0.0,0,927,63,0.0,0,0,581,0,Duran,63,0,0.0,i,0.0,0.0,0.0,0.0,0,58,45,604,0,0,0,0.00,0.0,,,0,False,0.0,0,537,0.0,0.0,0.00,0.00,68,0,0.00,0,0.0,0.0,0.0,0.0,595,292,589,0.0,2023-08-10T15:00:04.972558Z,0.0,76,62,62,0,0.0,0.0,927,0,587,Muscle injury - Expected back 03 Sep,45,0.0,0,,68,604,0,0
45,Kortney Hause,40,DEF,Aston Villa,0.0,,0,1043,66,0.2,0,0,203,0,Hause,94,0,1.0,a,0.0,0.0,0.0,0.0,0,165,554,311,0,0,0,0.00,0.0,,,0,False,0.5,0,329,,0.0,0.00,0.00,100,0,0.00,0,0.0,0.0,0.0,0.0,264,583,246,0.0,,0.0,126,91,95,0,0.0,0.0,1043,0,255,,554,0.0,0,,100,311,0,0
46,Tim Iroegbunam,45,MID,Aston Villa,0.0,0.0,0,674,148,0.0,0,0,451,0,Iroegbunam,166,0,0.0,i,0.0,0.0,0.0,0.0,0,263,45,516,0,0,0,0.00,0.0,,,0,False,0.0,0,544,0.0,0.0,0.00,0.00,187,0,0.00,0,0.0,0.0,0.0,0.0,480,520,472,0.0,2023-08-10T15:00:04.998490Z,0.0,207,165,159,0,0.0,0.0,674,0,472,Muscle injury - Unknown return date,45,0.0,0,,187,516,0,0
47,Boubacar Kamara,50,MID,Aston Villa,1.0,,0,864,58,0.1,0,0,100,0,Kamara,59,2,1.6,a,3.1,0.03,0.0,2.0,0,169,774,139,0,2,0,0.03,3.44,,,0,False,1.1,5,432,,5.0,3.44,0.02,56,1,0.05,0,0.0,19.3,7.0,0.05,113,260,58,0.4,,4.8,144,41,81,10,0.4,0.02,864,0,182,,774,2.0,90,,56,139,0,0
48,Ezri Konsa Ngoyo,45,DEF,Aston Villa,1.0,,0,5562,161,1.2,0,0,356,0,Konsa,69,0,2.0,a,1.5,0.0,0.0,0.0,0,97,3315,440,0,0,0,0.00,3.44,,,0,False,1.5,5,154,,5.0,3.44,0.01,181,1,0.01,0,0.0,1.3,0.0,0.01,183,402,168,0.0,,13.2,56,55,50,16,0.0,0.01,5562,0,114,,3315,0.0,90,,181,440,0,0
49,Emiliano Martínez Romero,50,GKP,Aston Villa,1.0,,0,33136,67,8.0,0,0,503,0,Martinez,2,1,3.2,a,4.6,0.0,0.0,1.0,1,5,19353,229,7,1,0,0.00,3.44,,,0,False,2.7,5,46,,5.0,3.44,0.00,19,1,0.00,0,7.0,0.0,0.0,0.0,87,182,520,0.2,,45.6,10,67,2,18,0.2,0.0,33136,0,12,,19353,1.0,90,,19,229,0,0
50,John McGinn,55,MID,Aston Villa,1.43,,0,2972,248,0.5,0,0,606,0,McGinn,78,2,2.1,a,1.9,0.0,0.0,2.0,0,58,1256,148,0,2,0,0.00,2.57,,2.0,0,False,1.6,3,234,,4.29,1.80,0.03,64,1,0.03,0,0.0,18.1,0.0,0.04,163,98,63,0.4,,0.8,74,45,100,6,0.4,0.04,2972,0,213,,1256,2.0,63,,64,148,0,0
51,Tyrone Mings,45,DEF,Aston Villa,3.0,0.0,0,322447,30,9.7,0,0,115,0,Mings,52,0,0.0,i,2.2,0.03,0.0,0.0,0,71,5957,414,0,0,0,0.01,3.24,,,0,False,1.5,2,38,,6.0,1.08,0.16,166,1,0.17,0,0.0,13.0,5.0,0.51,148,364,85,0.0,2023-08-12T21:30:06.077936Z,3.6,13,22,73,5,0.0,0.48,322447,0,189,Knee injury - Unknown return date,5957,0.0,30,,166,414,0,0
53,Robin Olsen,40,GKP,Aston Villa,0.0,,0,2425,16,0.9,0,0,197,0,Olsen,29,0,1.0,a,0.0,0.0,0.0,0.0,0,45,1677,305,0,0,0,0.00,0.0,,,0,False,0.5,0,178,,0.0,0.00,0.00,35,0,0.00,0,0.0,0.0,0.0,0.0,258,577,240,0.0,,0.0,22,17,29,0,0.0,0.0,2425,0,249,,1677,0.0,0,,35,305,0,0
54,Jaden Philogene-Bidace,45,MID,Aston Villa,0.0,,0,984,79,0.2,0,0,145,0,Philogene,108,1,1.0,a,0.3,0.0,0.0,1.0,0,257,1492,212,0,1,0,0.00,19.5,,,0,False,0.5,1,363,,30.0,0.65,0.00,90,0,0.00,0,0.0,0.3,2.0,0.0,224,509,200,0.2,,0.4,111,106,102,3,0.2,0.0,984,0,215,,1492,1.0,3,,90,212,0,0
55,Jacob Ramsey,60,MID,Aston Villa,0.0,0.0,0,2931,275,0.1,0,0,645,0,J.Ramsey,278,0,0.0,i,0.0,0.0,0.0,0.0,0,47,66,649,0,0,0,0.00,0.0,,,0,False,0.0,0,418,0.0,0.0,0.00,0.00,279,0,0.00,0,0.0,0.0,0.0,0.0,649,77,649,0.0,2023-07-25T12:00:03.978550Z,0.0,136,278,275,0,0.0,0.0,2931,0,646,Foot injury - Expected back 16 Sep,66,0.0,0,,279,649,0,0
56,Morgan Sanson,45,MID,Aston Villa,0.0,0.0,0,199,100,0.0,0,0,326,0,Sanson,120,0,0.0,u,0.0,0.0,0.0,0.0,0,208,0,412,0,0,0,0.00,0.0,,,0,False,0.0,0,632,0.0,0.0,0.00,0.00,142,0,0.00,0,0.0,0.0,0.0,0.0,373,362,361,0.0,2023-07-26T11:26:30.137805Z,0.0,262,118,113,0,0.0,0.0,199,0,365,Joined OGC Nice on a season-long loan,0,0.0,0,,142,412,0,0
57,Viljami Sinisalo,40,GKP,Aston Villa,0.0,0.0,0,70,38,0.0,0,0,244,0,Sinisalo,50,0,0.0,u,0.0,0.0,0.0,0.0,0,67,0,350,0,0,0,0.00,0.0,,,0,False,0.0,0,639,0.0,0.0,0.00,0.00,56,0,0.00,0,0.0,0.0,0.0,0.0,304,624,287,0.0,2023-07-20T08:38:58.947431Z,0.0,74,39,50,0,0.0,0.0,70,0,295,Joined Exeter City on a season-long loan,0,0.0,0,,56,350,0,0
